gene_id	AGI_LocusCode
2007518	AT1G03130
2007588	AT1G03140
2007583	AT1G03150
2007578	AT1G03160
4010711656	AT1G03160
2014559	AT1G03170
2014549	AT1G03180
1009021255	AT1G03180
1005715665	AT1G03190
2014524	AT1G03190
2014494	AT1G03200
2014484	AT1G03210
2014474	AT1G03220
2014464	AT1G03230
2014554	AT1G03240
2014544	AT1G03250
6530296054	AT1G03250
2014529	AT1G03260
2014519	AT1G03270
2014514	AT1G03280
2014539	AT1G03290
6530296055	AT1G03290
2014504	AT1G03300
2014499	AT1G03310
1006227805	AT1G03310
2014489	AT1G03320
2014479	AT1G03330
2014469	AT1G03340
2014459	AT1G03350
2014534	AT1G03360
6530296056	AT1G03365
2014509	AT1G03370
2020852	AT1G03380
2020837	AT1G03390
2020817	AT1G03400
2020797	AT1G03410
2020757	AT1G03420
2020867	AT1G03430
2020732	AT1G03440
2825041	AT1G03445
2825066	AT1G03457
1006229679	AT1G03457
1009021252	AT1G03470
2020842	AT1G03470
2825061	AT1G03475
2020802	AT1G03490
2825046	AT1G03495
1005715565	AT1G03502
1005715567	AT1G03506
2020762	AT1G03510
1005715566	AT1G03515
4010711657	AT1G03520
2020747	AT1G03520
2020712	AT1G03530
2020702	AT1G03540
6530296057	AT1G03545
2020827	AT1G03550
2020807	AT1G03560
1005715569	AT1G03570
504954129	AT1G03580
2020862	AT1G03590
2020787	AT1G03600
2020767	AT1G03610
2020752	AT1G03620
2020737	AT1G03630
1009021285	AT1G03630
1005715568	AT1G03640
2020717	AT1G03650
2020847	AT1G03660
2020832	AT1G03670
1005715570	AT1G03680
1006229678	AT1G03687
2825051	AT1G03687
2020772	AT1G03700
2020742	AT1G03710
4515100485	AT1G03710
2020777	AT1G03720
2020727	AT1G03730
2020707	AT1G03740
1009021296	AT1G03740
1005715564	AT1G03743
1005715559	AT1G03746
2024197	AT1G03750
2024187	AT1G03760
2024151	AT1G03770
6530296058	AT1G03770
6530296059	AT1G03770
1006229684	AT1G03780
6530296060	AT1G03780
2024131	AT1G03780
2024111	AT1G03790
2024248	AT1G03800
2024238	AT1G03810
2024213	AT1G03820
2024202	AT1G03830
6530296061	AT1G03830
1009021295	AT1G03840
2024192	AT1G03840
2024161	AT1G03850
1005715560	AT1G03850
1006229685	AT1G03860
1006229686	AT1G03860
2024141	AT1G03860
2024121	AT1G03870
2024233	AT1G03880
2024218	AT1G03890
2024207	AT1G03900
3688861	AT1G03905
6530296062	AT1G03910
2024181	AT1G03910
2024166	AT1G03920
2024146	AT1G03930
1005715558	AT1G03935
2024126	AT1G03940
2024106	AT1G03950
2024253	AT1G03960
